Epoch 1/25 - Train | Loss=6.2529 | HeatmapActivation=0.0338
Val   | Loss=4.8479 | HeatmapActivation=0.1272

Epoch 2/25 - Train | Loss=3.3205 | HeatmapActivation=0.0716
Val   | Loss=2.9348 | HeatmapActivation=0.0816

Epoch 3/25 - Train | Loss=2.8252 | HeatmapActivation=0.0912
Val   | Loss=2.7828 | HeatmapActivation=0.1025

Epoch 4/25 - Train | Loss=2.6227 | HeatmapActivation=0.1066
Val   | Loss=2.6817 | HeatmapActivation=0.1051

Epoch 5/25 - Train | Loss=2.4547 | HeatmapActivation=0.1220
Val   | Loss=2.3956 | HeatmapActivation=0.1292

Epoch 6/25 - Train | Loss=2.3351 | HeatmapActivation=0.1347
Val   | Loss=2.2504 | HeatmapActivation=0.1546

Epoch 7/25 - Train | Loss=2.2449 | HeatmapActivation=0.1448
Val   | Loss=2.1932 | HeatmapActivation=0.1622

Epoch 8/25 - Train | Loss=2.1723 | HeatmapActivation=0.1537
Val   | Loss=2.1143 | HeatmapActivation=0.1575

Epoch 9/25 - Train | Loss=2.1031 | HeatmapActivation=0.1621
Val   | Loss=2.0485 | HeatmapActivation=0.1718

Epoch 10/25 - Train | Loss=2.0493 | HeatmapActivation=0.1689
Val   | Loss=2.0263 | HeatmapActivation=0.1695

Epoch 11/25 - Train | Loss=1.9939 | HeatmapActivation=0.1765
Val   | Loss=1.9925 | HeatmapActivation=0.1904

Epoch 12/25 - Train | Loss=1.9474 | HeatmapActivation=0.1835
Val   | Loss=1.9184 | HeatmapActivation=0.1910

Epoch 13/25 - Train | Loss=1.8968 | HeatmapActivation=0.1903
Val   | Loss=1.8951 | HeatmapActivation=0.1902

Epoch 14/25 - Train | Loss=1.8643 | HeatmapActivation=0.1953
Val   | Loss=1.8646 | HeatmapActivation=0.2051

Epoch 15/25 - Train | Loss=1.8316 | HeatmapActivation=0.2006
Val   | Loss=1.8565 | HeatmapActivation=0.2048

Epoch 16/25 - Train | Loss=1.8127 | HeatmapActivation=0.2037
Val   | Loss=1.8386 | HeatmapActivation=0.2034

Epoch 17/25 - Train | Loss=1.7879 | HeatmapActivation=0.2075
Val   | Loss=1.8234 | HeatmapActivation=0.2084

Epoch 18/25 - Train | Loss=1.7824 | HeatmapActivation=0.2083
Val   | Loss=1.8271 | HeatmapActivation=0.2089

Epoch 19/25 - Train | Loss=1.7828 | HeatmapActivation=0.2085
Val   | Loss=1.8245 | HeatmapActivation=0.2097

Epoch 20/25 - Train | Loss=1.7817 | HeatmapActivation=0.2085
Val   | Loss=1.8234 | HeatmapActivation=0.2092

Epoch 21/25 - Train | Loss=1.7836 | HeatmapActivation=0.2085
Val   | Loss=1.8233 | HeatmapActivation=0.2091

Epoch 22/25 - Train | Loss=1.7799 | HeatmapActivation=0.2089
Val   | Loss=1.8213 | HeatmapActivation=0.2104

Epoch 23/25 - Train | Loss=1.7819 | HeatmapActivation=0.2086
Val   | Loss=1.8222 | HeatmapActivation=0.2096

Epoch 24/25 - Train | Loss=1.7806 | HeatmapActivation=0.2089
Val   | Loss=1.8230 | HeatmapActivation=0.2096

Epoch 25/25 - Train | Loss=1.7830 | HeatmapActivation=0.2085
Val   | Loss=1.8219 | HeatmapActivation=0.2096
