base_image_name,image_filename,box_class,directory,split
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
8000020f3fffbf76,8000020f3fffbf76.jpg,f18,satellite,train
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f22,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f22,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f22,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f18,satellite,val
80ff40f687360f39,80ff40f687360f39.jpg,f22,satellite,val
812f1e161b4d6d76,812f1e161b4d6d76.jpg,typhoon,typhoon,val
812f1e161b4d6d76,812f1e161b4d6d76.jpg,typhoon,typhoon,val
812f1e161b4d6d76,812f1e161b4d6d76.jpg,f15,typhoon,val
